FS_method,Classifier,F1_score,Best_params
mRMR,Random Forest,0.7820170826402467,"{'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__max_depth': 10}"
mRMR,SVM (RBF),0.7866130941637612,"{'clf__pca__n_components': 0.95, 'clf__clf__gamma': 'scale', 'clf__clf__C': 10}"
mRMR,Stacking Ensemble (RF+SVM+GB),0.803458625242279,"{'clf__final_estimator__n_estimators': 200, 'clf__final_estimator__max_depth': 3, 'clf__final_estimator__learning_rate': 0.1}"
mRMR,Soft Voting (RF+SVM),0.33142857142857146,"{'clf__weights': (1, 2)}"
ReliefF,Random Forest,0.7963062969050604,"{'clf__n_estimators': 600, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': None}"
ReliefF,SVM (RBF),0.7629113089995391,"{'clf__pca__n_components': 0.95, 'clf__clf__gamma': 'scale', 'clf__clf__C': 10}"
ReliefF,Stacking Ensemble (RF+SVM+GB),0.7890375237178564,"{'clf__final_estimator__n_estimators': 300, 'clf__final_estimator__max_depth': 3, 'clf__final_estimator__learning_rate': 0.05}"
ReliefF,Soft Voting (RF+SVM),0.2826666666666666,"{'clf__weights': (2, 1)}"
CorrSF,Random Forest,0.7489644572687647,"{'clf__n_estimators': 600, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 10}"
CorrSF,SVM (RBF),0.7716294822758667,"{'clf__pca__n_components': 0.9, 'clf__clf__gamma': 'scale', 'clf__clf__C': 50}"
CorrSF,Stacking Ensemble (RF+SVM+GB),0.7753992433266765,"{'clf__final_estimator__n_estimators': 300, 'clf__final_estimator__max_depth': 3, 'clf__final_estimator__learning_rate': 0.1}"
CorrSF,Soft Voting (RF+SVM),0.4550476190476191,"{'clf__weights': (2, 1)}"
SES,Random Forest,0.7975227055210703,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': 20}"
SES,SVM (RBF),0.7280752539006454,"{'clf__pca__n_components': 0.85, 'clf__clf__gamma': 0.01, 'clf__clf__C': 100}"
SES,Stacking Ensemble (RF+SVM+GB),0.8173463879005695,"{'clf__final_estimator__n_estimators': 200, 'clf__final_estimator__max_depth': 2, 'clf__final_estimator__learning_rate': 0.03}"
SES,Soft Voting (RF+SVM),0.38133333333333325,"{'clf__weights': (1, 1)}"
Boruta,Random Forest,0.7505330193593147,"{'clf__n_estimators': 600, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__max_depth': 10}"
Boruta,SVM (RBF),0.7443761534314444,"{'clf__pca__n_components': 0.9, 'clf__clf__gamma': 0.1, 'clf__clf__C': 10}"
Boruta,Stacking Ensemble (RF+SVM+GB),0.7904956439031221,"{'clf__final_estimator__n_estimators': 200, 'clf__final_estimator__max_depth': 2, 'clf__final_estimator__learning_rate': 0.05}"
Boruta,Soft Voting (RF+SVM),0.3351111111111111,"{'clf__weights': (2, 1)}"
RFE-SVM,Random Forest,0.784992168903302,"{'clf__n_estimators': 1000, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__max_depth': 20}"
RFE-SVM,SVM (RBF),0.8057920288114442,"{'clf__pca__n_components': 0.95, 'clf__clf__gamma': 'scale', 'clf__clf__C': 10}"
RFE-SVM,Stacking Ensemble (RF+SVM+GB),0.8006341856259425,"{'clf__final_estimator__n_estimators': 100, 'clf__final_estimator__max_depth': 3, 'clf__final_estimator__learning_rate': 0.1}"
RFE-SVM,Soft Voting (RF+SVM),0.39244444444444443,"{'clf__weights': (1, 2)}"
L1-LASSO,Random Forest,0.7975227055210703,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': 20}"
L1-LASSO,SVM (RBF),0.7280752539006454,"{'clf__pca__n_components': 0.85, 'clf__clf__gamma': 0.01, 'clf__clf__C': 100}"
L1-LASSO,Stacking Ensemble (RF+SVM+GB),0.8173463879005695,"{'clf__final_estimator__n_estimators': 200, 'clf__final_estimator__max_depth': 2, 'clf__final_estimator__learning_rate': 0.03}"
L1-LASSO,Soft Voting (RF+SVM),0.38133333333333325,"{'clf__weights': (1, 1)}"
HSIC-LASSO,Random Forest,0.7824952424414225,"{'clf__n_estimators': 600, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 20}"
HSIC-LASSO,SVM (RBF),0.7665220119603937,"{'clf__pca__n_components': 0.9, 'clf__clf__gamma': 'scale', 'clf__clf__C': 50}"
HSIC-LASSO,Stacking Ensemble (RF+SVM+GB),0.8055322311194079,"{'clf__final_estimator__n_estimators': 100, 'clf__final_estimator__max_depth': 2, 'clf__final_estimator__learning_rate': 0.05}"
HSIC-LASSO,Soft Voting (RF+SVM),0.5573333333333333,"{'clf__weights': (2, 1)}"
RF-imp,Random Forest,0.7354306447855835,"{'clf__n_estimators': 1000, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': None}"
RF-imp,SVM (RBF),0.7863461041045573,"{'clf__pca__n_components': 0.95, 'clf__clf__gamma': 0.1, 'clf__clf__C': 50}"
RF-imp,Stacking Ensemble (RF+SVM+GB),0.7644968246552228,"{'clf__final_estimator__n_estimators': 300, 'clf__final_estimator__max_depth': 2, 'clf__final_estimator__learning_rate': 0.1}"
RF-imp,Soft Voting (RF+SVM),0.42507936507936506,"{'clf__weights': (1, 1)}"
